country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name,2019旅客,2018旅客,2019货物,2018货物,2019起降,2018起降
CN,ZSNJ,NKG,Nanjing,Nanjing Lukou International Airport,31.742041,118.862,Asia/Shanghai,南京,南京禄口国际机场,30581685,28581546,374633.5,365054.4,234869,220849
CN,ZSNT,NTG,Nantong,Nantong Xingdong Airport,32.072922,120.975601,Asia/Shanghai,南通,南通兴东国际机场,3484484,2771326,42263.1,42989.9,34580,33781
CN,ZSOF,HFE,Hefei,Hefei Xinqiao International Airport,31.986345,116.970474,Asia/Shanghai,合肥,合肥新桥国际机场,12282384,11110596,87101.6,69787.3,95135,89005
CN,ZSPD,PVG,Shanghai,Shanghai Pudong International Airport,31.14337,121.805199,Asia/Shanghai,上海,上海浦东国际机场,76153455,74006331,3634230.4,3768572.6,511846,504794
CN,ZSQD,TAO,Qingdao,Qingdao Liuting International Airport,36.266102,120.374397,Asia/Shanghai,青岛,青岛流亭国际机场,25556278,24535738,256298.8,224533.8,186500,182642
CN,ZSQZ,JJN,Quanzhou,Quanzhou Jinjiang Airport,24.802809,118.587296,Asia/Shanghai,泉州,泉州晋江国际机场,8435805,7443161,75294.6,63845.4,65012,58319
CN,ZSRZ,RIZ,Rizhao,Rizhao Shanzihe Airport,35.399723,119.316666,Asia/Shanghai,日照,日照山字河机场,1017891,901253,1773.4,1448.7,126020,79574
CN,ZSSH,HIA,Huai'an,Huai'an Lianshui Airport,33.777222,119.147781,Asia/Shanghai,淮安,淮安涟水国际机场,2347566,1516272,10259.3,6286.0,45573,26082
CN,ZSSM,SQJ,Sanming,Sanming Shaxian Airport,26.428211,117.836914,Asia/Shanghai,三明,三明沙县机场,255569,204039,259.2,276.3,2865,2392
CN,ZSSR,SQD,Shangrao,Shangrao Sanqingshan Airport,28.39212,117.961327,Asia/Shanghai,上饶,上饶三清山机场,500156,375030,153.8,121.1,5982,4558
CN,ZSSS,SHA,Shanghai,Shanghai Hongqiao International Airport,31.19787,121.336304,Asia/Shanghai,上海,上海虹桥国际机场,45637882,43628004,423614.7,407154.6,272928,266790
CN,ZSTX,TXN,Huangshan City,Huangshan Tunxi International Airport,29.73333,118.255798,Asia/Shanghai,黄山,黄山屯溪国际机场,869681,761230,2002.4,2250.6,9288,8206
CN,ZSWF,WEF,Weifang,Weifang Airport,36.646702,119.119003,Asia/Shanghai,潍坊,潍坊南苑机场,468598,724754,13844.9,24072.0,4613,6910
CN,ZSWH,WEH,Weihai,Weihai Dashuibo Airport,37.188141,122.236069,Asia/Shanghai,威海,威海大水泊国际机场,3090766,2508155,9228.1,6764.6,25694,20889
CN,ZSWX,WUX,Wuxi,Wuxi Sunan Shuofang International Airport,31.492889,120.424377,Asia/Shanghai,无锡,苏南硕放国际机场,7973446,7207529,145128.2,123818.9,62483,56066
CN,ZSWY,WUS,Wuyishan,Wuyishan Airport,27.716667,117.966667,Asia/Shanghai,武夷山,武夷山机场,641118,643017,815.5,976.1,7087,7071
CN,ZSWZ,WNZ,Wenzhou,Wenzhou Longwan International Airport,27.91222,120.851898,Asia/Shanghai,温州,温州龙湾国际机场,12291707,11218701,81106.6,80189.5,92296,86362
CN,ZSXZ,XUZ,Xuzhou,Xuzhou Guanyin Airport,34.052925,117.554077,Asia/Shanghai,徐州,徐州观音国际机场,3005875,2518799,12068.7,10065.7,49648,51770
CN,ZSYA,YTY,Yangzhou,Yangzhou Taizhou Airport,32.563057,119.718887,Asia/Shanghai,扬州,扬州泰州国际机场,2979668,2384382,12440.6,11136.8,41422,50590
CN,ZSYC,YIC,Yichun,Yichun Mingyueshan Airport,27.803333,114.30806,Asia/Shanghai,宜春,宜春明月山机场,777861,639834,343.9,409.8,8148,7014
CN,ZSYN,YNZ,Yancheng,Yancheng Nanyang Airport,33.385555,120.125275,Asia/Shanghai,盐城,盐城南洋国际机场,2090304,1822173,8684.4,6587.1,19099,16711
CN,ZSYT,YNT,Yantai,Yantai Penglai International Airport,37.657223,120.987221,Asia/Shanghai,烟台,烟台蓬莱国际机场,10052929,8433179,57060.9,51465.0,86441,75500
CN,ZSYW,YIW,Yiwu,Yiwu Airport,29.344563,120.028809,Asia/Shanghai,金华,义乌机场,2029109,1635673,10612.9,8800.1,15511,12558
