country,IATA,ICAO,city,name,latitude,longitude,timezone,city_en,name_en
RU,GOJ,UWGG,Nizhniy Novgorod,Nizhny Novgorod Strigino,56.23011,43.784039,Europe/Moscow,Nizhny Novgorod,Nizhny Novgorod
RU,GYG,UEMM,Yakutsk,Magan,62.103484,129.545288,Asia/Yakutsk,,
RU,HMA,USHH,Khanty-Mansiysk,Khanty Mansiysk,61.028499,69.086097,Asia/Yekaterinburg,,
RU,HTA,UIAA,Chita,Chita-Kadala,52.02631,113.305496,Asia/Yakutsk,Chita,Chita Kadala
RU,HTG,UOHH,Khatanga,Khatanga,71.978103,102.490997,Asia/Krasnoyarsk,,
RU,IAA,UOII,Igarka,Igarka,67.437202,86.621902,Asia/Krasnoyarsk,,
RU,IAR,UUDL,Yaroslavl,Tunoshna,57.560699,40.157398,Europe/Moscow,,
RU,IGT,URMS,Magas,Magas,43.322299,45.012599,Europe/Moscow,,
RU,IJK,USII,Izhevsk,Izhevsk,56.828098,53.4575,Europe/Samara,,
RU,IKS,UEST,Tiksi,Tiksi,71.6977,128.902999,Asia/Yakutsk,,
RU,IKT,UIII,伊尔库茨克,Irkutsk,52.268021,104.388901,Asia/Irkutsk,Irkutsk,Irkutsk
RU,IWA,UUBI,Ivanovo,Ivanovo South,56.939399,40.940799,Europe/Moscow,,
RU,JOK,UWKJ,Yoshkar-Ola,Yoshkar-Ola,56.700599,47.904701,Europe/Moscow,,
RU,KCK,UIKK,Kirensk,Kirensk,57.773,108.064,Asia/Irkutsk,,
RU,KEJ,UNEE,Kemorovo,Kemerovo,55.270088,86.107201,Asia/Krasnoyarsk,Kemerovo,Kemerovo
RU,KGD,UMKK,Kaliningrad,Khrabrovo,54.889999,20.592599,Europe/Kaliningrad,,
RU,KGP,USRK,Kogalym,Kogalym,62.190399,74.533798,Asia/Yekaterinburg,,
RU,KHV,UHHH,哈巴罗夫斯克,Khabarovsk-Novy,48.528042,135.188293,Asia/Vladivostok,Khabarovsk,Khabarovsk Novy
RU,KJA,UNKL,Krasnoyarsk,Yemelyanovo,56.172939,92.493271,Asia/Krasnoyarsk,Krasnoyarsk,Krasnoyarsk
RU,KLD,UUEM,Tver,Migalovo Air Base,56.824699,35.757701,Europe/Moscow,,
RU,KLF,UUBC,Kaluga,Grabtsevo,54.549999,36.366668,Europe/Moscow,,
RU,KMW,UUBA,Kostroma,Kostroma Sokerkino,57.796901,41.019401,Europe/Moscow,,
RU,KRO,USUU,Kurgan,Kurgan,55.475299,65.415603,Asia/Yekaterinburg,,
RU,KRR,URKK,Krasnodar,Krasnodar Pashkovsky,45.034679,39.170528,Europe/Moscow,Krasnodar,Krasnodar
RU,KSZ,ULKK,Kotlas,Kotlas,61.235801,46.697498,Europe/Moscow,,
RU,KUF,UWWW,Samara,Kurumoch,53.504901,50.164299,Europe/Samara,,
RU,KVK,ULMK,Apatity,Kirovsk-Apatity,67.463302,33.588298,Europe/Moscow,,
RU,KVM,UHMO,Markovo,Markovo,64.667,170.417007,Asia/Anadyr,,
RU,KVR,UHWK,Kavalerovo,Kavalerovo,44.2726,135.029,Asia/Vladivostok,,
RU,KVX,USKK,Kirov,Pobedilovo,58.503299,49.3483,Europe/Moscow,,
RU,KXK,UHKK,Komsomolsk-on-Amur,Komsomolsk-on-Amur,50.409,136.934005,Asia/Vladivostok,,
RU,KYZ,UNKY,Kyzyl,Kyzyl,51.669399,94.400596,Asia/Krasnoyarsk,,
RU,KZN,UWKD,Kazan,Kazan,55.606178,49.278721,Europe/Moscow,Kazan,Kazan
RU,LDG,ULAL,Arkhangelsk,Leshukonskoye,64.896003,45.722999,Europe/Moscow,,
RU,LED,ULLI,圣彼得堡,Pulkovo,59.800289,30.262501,Europe/Moscow,St. Petersburg,St. Petersburg Pulkovo
RU,LPK,UUOL,Lipetsk,Lipetsk,52.7028,39.537799,Europe/Moscow,,
RU,MCX,URML,Makhachkala,Uytash,42.816799,47.652301,Europe/Moscow,,
RU,MJZ,UERR,Mirnyj,Mirny,62.534698,114.039001,Asia/Yakutsk,,
RU,MMK,ULMM,Murmansk,Murmansk,68.7817,32.750801,Europe/Moscow,,
RU,MQF,USCM,Magnetiogorsk,Magnitogorsk,53.3931,58.755699,Asia/Yekaterinburg,,
RU,MQJ,UEMA,Honuu,Moma,66.450859,143.261551,Asia/Srednekolymsk,,
RU,MRV,URMM,Mineralnye Vody,Mineralnyye Vody,44.225101,43.081901,Europe/Moscow,,
RU,NAL,URMN,Nalchik,Nalchik,43.512901,43.6366,Europe/Moscow,,
RU,NBC,UWKE,Nizhnekamsk,Begishevo,55.564701,52.092498,Europe/Moscow,,
RU,NFG,USRN,Nefteyugansk,Nefteyugansk,61.108299,72.650001,Asia/Yekaterinburg,,
RU,NJC,USNN,Nizhnevartovsk,Nizhnevartovsk,60.949298,76.483596,Asia/Yekaterinburg,,
