country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name
US,KSAN,SAN,San Diego,San Diego,32.733551,-117.189003,America/Los_Angeles,圣地亚哥,San Diego
US,KSAT,SAT,San Antonio,San Antonio,29.533689,-98.469704,America/Chicago,San Antonio,San Antonio
US,KSAV,SAV,Savannah,Savannah Hilton Head,32.127579,-81.202103,America/New_York,Savannah,Savannah Hilton Head
US,KSAW,MQT,Marquette,Marquette Sawyer,46.35363,-87.395302,America/New_York,Gwinn,Sawyer
US,KSBA,SBA,Santa Barbara,Santa Barbara Municipal,34.426182,-119.841003,America/Los_Angeles,Santa Barbara,Santa Barbara Municipal
US,KSBD,SBD,,,34.095401,-117.235,America/Los_Angeles,San Bernardino,San Bernardino
US,KSBM,SBM,,,43.769599,-87.851402,America/Chicago,Sheboygan,Sheboygan County Memorial
US,KSBN,SBN,South Bend,South Bend,41.708221,-86.317299,America/New_York,South Bend,South Bend Regional
US,KSBO,SBO,Salina,Salina Gunnison,39.029121,-111.837997,,Salina,Salina Gunnison
US,KSBP,SBP,San Luis Obispo,San Luis Obispo County Regional,35.237259,-120.641998,America/Los_Angeles,San Luis Obispo,San Luis County Regional
US,KSBS,SBS,,,40.5163,-106.865997,America/Denver,Steamboat Springs,Steamboat Springs Bob Adams Field
US,KSBY,SBY,Salisbury,Salisbury Ocean City Wicomico Regional,38.340519,-75.510201,America/New_York,Salisbury,Salisbury Ocean City Wicomico Regional
US,KSCH,SCH,,,42.8525,-73.928901,America/New_York,Scotia NY,Schenectady County
US,KSCK,SCK,Stockton,Stockton Metropolitan,37.894161,-121.237999,America/Los_Angeles,Stockton,Stockton Metropolitan
US,KSDF,SDF,Louisville,Louisville,38.17408,-85.736397,America/New_York,Louisville,LouisvilleStandiford Field
US,KSDL,SCF,Scottsdale,Scottsdale,33.619999,-111.910004,America/Phoenix,Scottsdale,Scottsdale
US,KSDM,SDM,,,32.572299,-116.980003,America/Los_Angeles,圣地亚哥,Brown Field Municipal
US,KSDY,SDY,,,47.706902,-104.193001,America/Denver,Sidney,Sidney - Richland Regional
US,KSEA,SEA,Seattle,Tacoma,47.4482,-122.311203,America/Los_Angeles,西雅图,塔科马
US,KSEE,SEE,,,32.826198,-116.972,America/Los_Angeles,El Cajon,Gillespie Field
US,KSEF,SEF,,,27.456399,-81.342399,America/New_York,Sebring,Sebring Regional
US,KSEM,SEM,,,32.343898,-86.9878,America/Chicago,Selma,Craig Field
US,KSEP,SEP,,,32.215301,-98.177696,America/Chicago,Stephenville,Stephenville Clark Regional
US,KSEZ,SDX,,,34.848598,-111.788002,America/Phoenix,Sedona,Sedona
US,KSFB,SFB,Orlando,Orlando Sanford,28.776699,-81.235497,America/New_York,Sanford,Orlando Sanford
US,KSFF,SFF,,,47.6828,-117.322998,America/Los_Angeles,Spokane,Felts Field
US,KSFO,SFO,San Francisco,San Francisco,37.618969,-122.374001,America/Los_Angeles,旧金山,旧金山
US,KSFZ,SFZ,,,41.920799,-71.491401,America/New_York,Smithfield,North Central State
US,KSGF,SGF,Springfield,Springfield Branson National,37.245659,-93.388603,America/Chicago,Springfield,Springfield Branson National
US,KSGH,SGH,,,39.840301,-83.840202,America/New_York,Springfield,Springfield-Beckley Municipal
US,KSGJ,UST,,,29.9592,-81.339798,America/New_York,St. Augustine,Northeast Florida Regional
US,KSGR,SGR,,,29.622299,-95.656501,America/Chicago,Sugar Land,Sugar Land Regional
US,KSGU,SGU,St. George,St. George Regional,37.029999,-113.510002,America/Denver,Saint George,St George Municipal
US,KSHD,SHD,Staunton,Staunton Shenulldoah Valley Regional,38.263889,-78.896667,America/New_York,Weyers Cave,Shenulldoah Valley Regional
US,KSHN,SHN,,,47.2336,-123.148002,America/Los_Angeles,Shelton,Sanderson Field
US,KSHR,SHR,Sheridan,Sheridan County,44.774166,-106.977219,America/Denver,Sheridan,Sheridan County
US,KSHV,SHV,Shreveport,Shreveport Regional,32.446609,-93.8256,America/Chicago,Shreveport,Shreveport Regional
US,KSIK,SIK,,,36.898899,-89.561798,America/Chicago,Sikeston,Sikeston Memorial Municipal
US,KSJC,SJC,San Jose,San Jose,37.362659,-121.929001,America/Los_Angeles,圣何塞,Norman Y. Mineta San Jose
US,KSJT,SJT,San Angelo,San Angelo Regional,31.35775,-100.496002,America/Chicago,San Angelo,San Angelo Regional Mathis Field
US,KSKA,SKA,,,47.6151,-117.655998,America/Los_Angeles,Spokane,Fairchild Air Force Base
US,KSKF,SKF,,,29.384199,-98.5811,America/Chicago,San Antonio,Lackland Air Force Base
US,KSKY,SKY,,,41.433399,-82.652297,America/New_York,Sandusky,Griffing Sandusky
US,KSLC,SLC,Salt Lake City,Salt Lake City,40.78838,-111.976997,America/Denver,Salt Lake City,Salt Lake City
US,KSLE,SLE,,,44.9095,-123.002998,America/Los_Angeles,Salem,Salem Municipal /McNary Field
US,KSLK,SLK,Saranac Lake,Saranac Lake Adirondack Regional,44.382778,-74.206665,America/New_York,Saranac Lake,Adirondack Regional
US,KSLN,SLN,Salina,Salina Regional,38.790958,-97.6521,America/Chicago,Salina,Salina Municipal
US,KSMD,SMD,,,41.143398,-85.152801,America/New_York,Fort Wayne IN,Smith Field
US,KSME,SME,,,37.053398,-84.615898,America/New_York,Somerset,Lake Cumberland Regional
US,KSMF,SMF,Sacramento,Sacramento,38.695412,-121.589996,America/Los_Angeles,Sacramento,Sacramento
US,KSMN,SMN,,,45.123798,-113.880996,America/Denver,Salmon,Lemhi County
US,KSMO,SMO,Santa Monica,Santa Monica,34.017735,-118.449646,America/Los_Angeles,Santa Monica,Santa Monica Municipal
US,KSMX,SMX,Santa Maria,Santa Maria Public,34.898911,-120.457001,America/Los_Angeles,Santa Maria,Santa Maria Pub/Capt G Allan Hancock Field
US,KSNA,SNA,Orange County,Orange County John Wayne,33.675659,-117.867996,America/Los_Angeles,Santa Ana,John Wayne -Orange County
US,KSNY,SNY,,,41.101299,-102.985,America/Denver,Sidney,Sidney Municipal-Lloyd W Carr Field
US,KSOP,SOP,,,35.2374,-79.391197,America/New_York,Pinehurst-Southern Pines,Moore County
US,KSOW,SOW,Show Low,Show Low Regional,34.2654,-110.0056,America/Phoenix,Show Low,Show Low Regional
US,KSPF,SPF,,,44.4803,-103.782997,America/Denver,Spearfish-South Dakota,Black Hills -Clyde Ice Field
US,KSPG,SPG,,,27.7651,-82.626999,America/New_York,St. Petersburg,Albert Whitted
US,KSPI,SPI,Springfield,Springfield Abraham Lincoln Capital,39.844101,-89.677803,America/Chicago,Springfield,Abraham Lincoln Capital
US,KSPS,SPS,Wichita Falls,Wichita Falls Municipal,33.988789,-98.491798,America/Chicago,Wichita Falls,Sheppard Air Force Base-Wichita Falls Municipal
US,KSPW,SPW,,,43.1655,-95.202796,America/Chicago,Spencer,Spencer Municipal
US,KSQL,SQL,,,37.511901,-122.25,America/Los_Angeles,San Carlos,San Carlos
US,KSRQ,SRQ,Sarasota,Sarasota-Bradenton,27.395439,-82.554298,America/New_York,Sarasota,Sarasota Bradenton
US,KSRR,RUI,,,33.462799,-105.535003,America/Denver,Ruidoso,Sierra Blanca Regional
US,KSSC,SSC,,,33.972698,-80.470596,America/New_York,Sumter,Shaw Air Force Base
US,KSSI,SSI,Brunswick,Brunswick Malcolm McKinnon,31.15,-81.389999,America/New_York,Brunswick,Malcolm McKinnon
US,KSTC,STC,,,45.5466,-94.059898,America/Chicago,Saint Cloud,St Cloud Regional
US,KSTE,STE,,,44.5452,-89.530296,America/Chicago,Stevens Point,Stevens Point Municipal
US,KSTJ,STJ,,,39.7719,-94.909698,America/Chicago,Rosecrans,Rosecrans Memorial
US,KSTK,STK,,,40.615299,-103.264999,America/Denver,Sterling,Sterling Municipal
