country,ICAO,IATA,city,city_en,name,name_en,latitude,longitude,timezone
CN,ZPJH,JHG,西双版纳,Jinghong,西双版纳嘎洒国际机场,Jinghong Xishuangbanna Gasa,21.973421,100.766457,Asia/Shanghai
CN,ZPJM,JMJ,澜沧,Lancang,澜沧景迈机场,Lancang Jingmai,22.415833,99.786392,Asia/Shanghai
CN,ZPLC,LNJ,临沧,Lincang,临沧博尚机场,Boshang,23.738333,100.025002,Asia/Shanghai
CN,ZPLJ,LJG,丽江,Lijiang,丽江三义国际机场,Lijiang Sanyi,26.683332,100.25,Asia/Shanghai
CN,ZPMS,LUM,德宏,Mangshi,德宏芒市机场,Mangshi,24.405279,98.531898,Asia/Shanghai
CN,ZPNL,NLH,宁蒗,Ninglang,宁蒗泸沽湖机场,Luguhu,27.542559,100.759323,Asia/Shanghai
CN,ZPPP,KMG,昆明,Kunming,昆明长水国际机场,Changshui,25.101944,102.929169,Asia/Shanghai
CN,ZPSM,SYM,普洱,Pu'er,普洱思茅机场,Pu'er Simao,22.79657,100.962219,Asia/Shanghai
CN,ZPWS,WNH,文山,Wenshan,文山普者黑机场,Puzhehei,23.374907,104.242561,Asia/Shanghai
CN,ZPZT,ZAT,昭通,Zhaotong,昭通机场,Zhaotong,27.316668,103.800003,Asia/Shanghai
CN,ZSAM,XMN,厦门,Xiamen,厦门高崎国际机场,Xiamen Gaoqi,24.544029,118.127701,Asia/Shanghai
CN,ZSAQ,AQG,安庆,Anqing,安庆天柱山机场,Anqing Tianzhushan,30.582222,117.050278,Asia/Shanghai
CN,ZSCG,CZX,常州,Changzhou,常州奔牛国际机场,Changzhou Benniu,31.91972,119.778603,Asia/Shanghai
CN,ZSCN,KHN,南昌,Nanchang,南昌昌北国际机场,Nanchang Changbei,28.865,115.900002,Asia/Shanghai
CN,ZSDY,DOY,东营,Dongying,东营胜利机场,Dongying Shengli,37.510277,118.784447,Asia/Shanghai
CN,ZSFY,FUG,阜阳,Fuyang,阜阳西关机场,Fuyang Xiguan,32.882156,115.734367,Asia/Shanghai
CN,ZSFZ,FOC,福州,Fuzhou,福州长乐国际机场,Fuzhou Changle,25.935061,119.6632,Asia/Shanghai
CN,ZSGS,JGS,吉安,Ji'an,吉安井冈山机场,Ji'an,26.899721,114.737503,Asia/Shanghai
CN,ZSGZ,KOW,赣州,Ganzhou,赣州黄金机场,Ganzhou Huangjin,25.851667,114.776665,Asia/Shanghai
CN,ZSHC,HGH,杭州,Hangzhou,杭州萧山国际机场,Hangzhou Xiaoshan,30.2295,120.434402,Asia/Shanghai
CN,ZSJD,JDZ,景德镇,Jingdezhen,景德镇罗家机场,Jingdezhen Luojia,29.33861,117.175797,Asia/Shanghai
CN,ZSJG,JNG,济宁,Jining,济宁曲阜机场,Jining Qufu,35.290001,116.339996,Asia/Shanghai
CN,ZSJH,JUH,池州,Chizhou,池州九华山机场,Chizhou Jiuhuashan,30.740278,117.686668,Asia/Shanghai
CN,ZSJN,TNA,济南,Jinan,济南遥墙国际机场,Jinan Yaoqiang,36.857208,117.215897,Asia/Shanghai
CN,ZSJU,JUZ,衢州,Quzhou,衢州机场,Quzhou,28.965799,118.899002,Asia/Shanghai
